country;billionaires;age;gender;mean_billionaire_pos;median_billionaire_pos;total_billionaire_worth;mean_billionaire_worth;median_billionaire_worth;rd_expense_billions;rd_expense_capita;percent_GDP
united states;270;67.12222222222222;0.6703703703703704;961.8962962962963;874.0;1526.7999999999997;5.654814814814814;2.8;511.1;1586.35;2.744
china;158;53.61392405063291;0.7278481012658228;1357.639240506329;1524.0;419.30000000000007;2.6537974683544308;1.6;553.4;388.0;2.19
germany;45;55.333333333333336;0.5555555555555556;906.1111111111111;758.0;193.00000000000003;4.28888888888889;3.2;118.8;1450.17;2.94
india;41;58.21951219512195;0.7073170731707317;1092.1951219512196;1063.0;168.9;4.119512195121952;2.4;66.5;39.37;0.85
russia;30;56.2;0.8;1156.3;1514.5;148.89999999999998;4.963333333333333;1.6;42.6;290.21;1.187
united kingdom;25;66.0;0.72;1147.96;1318.0;68.2;2.728;1.9;44.8;692.9;1.701
italy;17;58.88235294117647;0.7647058823529411;891.2352941176471;655.0;79.8;4.694117647058824;3.5;27.4;452.14;1.287
brazil;16;67.375;0.5;1127.25;1113.5;77.5;4.84375;2.2;38.4;177.89;1.17
canada;16;73.875;0.75;1334.5625;1422.0;54.599999999999994;3.4124999999999996;1.7;25.7;723.5;1.612
south korea;15;60.53333333333333;0.6;1265.9333333333334;1304.0;49.300000000000004;3.286666666666667;1.9;91.6;1518.47;4.292
turkey;15;60.53333333333333;0.6666666666666666;1593.1333333333334;1495.0;24.599999999999998;1.64;1.6;15.3;198.36;1.007
taiwan;14;66.64285714285714;0.7142857142857143;1035.4285714285713;1053.0;41.99999999999999;2.9999999999999996;2.35;33.7;1383.84;3.1
hong kong;14;61.357142857142854;0.6428571428571429;1060.0714285714287;1007.0;77.3;5.521428571428571;2.5;2.7;373.09;0.73
australia;13;72.84615384615384;0.5384615384615384;1225.923076923077;1340.0;44.5;3.423076923076923;1.8;23.3;986.86;2.12
switzerland;13;59.53846153846154;0.6923076923076923;1108.5384615384614;1140.0;37.5;2.8846153846153846;2.2;13.1;1647.9;2.967
spain;12;68.41666666666667;0.6666666666666666;1000.3333333333334;917.0;100.9;8.408333333333333;2.6500000000000004;19.2;413.46;1.222
france;9;75.0;0.6666666666666666;598.4444444444445;561.0;55.1;6.122222222222223;4.0;60.0;905.8;2.256
singapore;9;65.11111111111111;0.8888888888888888;1228.7777777777778;1235.0;22.8;2.533333333333333;2.0;10.0;1831.7;2.186
sweden;9;59.888888888888886;0.8888888888888888;1039.4444444444443;959.0;31.3;3.477777777777778;2.6;14.2;1468.1;3.161
japan;8;71.625;0.625;834.875;589.0;53.6;6.7;3.8499999999999996;165.7;1297.39;3.147
israel;8;62.25;0.625;1239.75;1195.5;23.200000000000003;2.9000000000000004;2.0999999999999996;12.7;1361.56;4.3
mexico;8;75.875;0.75;836.375;592.0;95.5;11.9375;3.8499999999999996;9.0;237.57;0.941
thailand;7;61.42857142857143;1.0;1052.4285714285713;1290.0;19.9;2.8428571428571425;1.9;3.6;52.67;0.39
norway;6;57.833333333333336;0.5;839.6666666666666;770.0;18.6;3.1;3.15;5.8;1123.9;1.71
indonesia;6;68.66666666666667;0.8333333333333334;1246.3333333333333;1391.5;26.2;4.366666666666666;1.7999999999999998;2.0;8.09;0.08
chile;4;74.25;0.0;625.0;432.5;27.5;6.875;4.8;1.54;87.39;0.38
finland;4;65.5;0.75;1359.5;1361.0;7.3;1.825;1.8;7.2;1318.0;3.174
peru;4;70.5;0.75;1377.0;1469.0;8.0;2.0;1.7;0.4;12.94;0.12
monaco;4;64.0;0.5;1463.0;1459.5;6.8999999999999995;1.7249999999999999;1.7;0.0;0.0;0.0
argentina;4;52.25;0.75;1550.75;1696.0;6.9;1.725;1.4;5.0;129.09;0.588
austria;3;60.333333333333336;0.6666666666666666;761.6666666666666;853.0;13.0;4.333333333333333;2.9;11.9;1416.14;3.1
cyprus;3;55.333333333333336;1.0;1353.6666666666667;1506.0;6.0;2.0;1.6;0.13;150.82;0.48
czech republic;3;46.0;0.6666666666666666;845.3333333333334;856.0;8.7;2.9;2.9;6.3;600.04;1.997
denmark;3;68.33333333333333;1.0;972.0;520.0;10.700000000000001;3.566666666666667;4.2;8.2;1450.2;3.085
ukraine;3;51.666666666666664;1.0;1865.0;1880.0;3.8000000000000003;1.2666666666666668;1.2;3.0;73.7;0.76
st. kitts and nevis;2;66.0;0.0;1834.0;1834.0;2.7;1.35;1.35;0.0;0.0;0.0
poland;2;27.5;0.5;679.0;679.0;7.0;3.5;3.5;11.6;301.06;0.935
philippines;2;79.0;1.0;863.5;863.5;21.4;10.7;10.7;0.48;5.4;0.11
united arab emirates;2;0.0;1.0;376.0;376.0;10.5;5.25;5.25;4.28;470.7;0.7
vietnam;2;53.5;0.5;949.0;949.0;6.1;3.05;3.05;0.87;9.91;0.21
netherlands;2;59.5;0.5;1332.0;1332.0;3.7;1.85;1.85;16.3;967.8;1.973
malaysia;2;73.0;0.5;751.5;751.5;9.1;4.55;4.55;10.6;344.3;1.3
egypt;2;63.5;1.0;581.5;581.5;9.3;4.65;4.65;6.2;73.18;0.68
lebanon;2;49.0;0.0;1344.5;1344.5;4.0;2.0;2.0;0.0;0.0;0.0
kuwait;2;36.0;1.0;1761.0;1761.0;2.5999999999999996;1.2999999999999998;1.2999999999999998;0.83;214.16;0.3
kazakhstan;2;60.5;0.5;930.0;930.0;5.4;2.7;2.7;0.67;39.24;0.17
oman;1;69.0;1.0;1608.0;1608.0;1.5;1.5;1.5;0.07;25.4;0.23
ireland;1;57.0;1.0;2076.0;2076.0;1.1;1.1;1.1;3.6;779.4;1.519
belgium;1;65.0;1.0;1163.0;1163.0;2.1;2.1;2.1;12.4;1102.9;2.465
colombia;1;85.0;1.0;123.0;123.0;12.1;12.1;12.1;1.6;31.0;0.24
georgia;1;62.0;1.0;460.0;460.0;4.6;4.6;4.6;0.05;14.73;0.16
greece;1;71.0;1.0;746.0;746.0;3.2;3.2;3.2;2.4;216.72;1.007
iceland;1;51.0;1.0;1219.0;1219.0;2.0;2.0;2.0;0.27;831.2;1.891
swaziland;1;86.0;0.0;505.0;505.0;4.3;4.3;4.3;0.0;0.0;0.0
new zealand;1;59.0;1.0;1161.0;1161.0;2.1;2.1;2.1;1.8;400.99;1.172
angola;1;45.0;0.0;933.0;933.0;2.6;2.6;2.6;0.0;0.0;0.0
macau;1;65.0;1.0;1690.0;1690.0;1.4;1.4;1.4;0.07;122.2;0.09
south africa;1;73.0;1.0;202.0;202.0;7.7;7.7;7.7;4.8;92.25;0.732
morocco;1;85.0;1.0;1484.0;1484.0;1.6;1.6;1.6;1.5;47.59;0.73
qatar;1;58.0;0.0;1867.0;1867.0;1.2;1.2;1.2;1.3;698.5;0.47
liechtenstein;1;61.0;1.0;587.0;587.0;3.9;3.9;3.9;0.0;0.0;0.0
